n,p,k,temperature,humidity,ph,soil_quality
119,63,29,39.24424283,30.8195423,7.257278365,Medium
33,43,75,36.54537262,86.26907917,7.711055355,Poor
114,80,45,20.10602388,56.7106153,6.460895872,Good
67,45,88,32.99445317,61.26474138,7.083506614,Good
34,27,47,22.22753135,89.30473415,6.961665897,Poor
91,47,31,32.08681486,60.20418516,6.40432213,Good
97,68,70,31.64513651,86.86463967,7.158584093,Medium
106,18,59,21.81076507,84.91386695,6.861487492,Medium
81,82,68,20.85971551,86.47893172,7.247860899,Medium
59,81,29,17.59844406,78.74238345,5.945392018,Medium
104,60,45,16.26349092,47.78388507,6.328624186,Good
99,44,24,36.46127647,50.78294903,7.043810402,Medium
128,91,71,16.24623487,51.89904409,5.787047964,Poor
101,14,12,17.21852916,88.75085038,7.271914406,Poor
130,23,14,20.97130088,51.64533024,5.806911476,Poor
72,39,65,37.19145821,36.52135855,6.246244547,Medium
43,13,40,23.32350901,76.69973368,6.046315949,Medium
45,48,95,19.79498894,51.96379749,5.640266792,Medium
108,93,44,32.88888739,67.2561547,6.122510725,Medium
79,73,80,22.97674387,85.46162474,7.596475781,Medium
128,34,79,23.33416595,64.53033461,5.561935888,Medium
60,37,35,33.4744149,68.2620107,5.538706541,Medium
48,85,10,21.29132039,68.57175387,7.11981375,Medium
34,75,92,37.41900119,66.74395115,6.343800804,Medium
64,87,16,29.03554195,39.58616265,6.028404481,Medium
84,31,45,28.44579278,57.38492488,6.670405948,Good
108,40,85,21.61880588,30.4598412,6.113353735,Medium
90,32,93,35.8773585,67.57588824,6.401641222,Medium
28,57,96,29.31873877,64.5214977,7.145273694,Medium
107,29,34,18.8879137,49.08823315,5.768886248,Medium
20,47,68,20.15745593,61.43373019,7.707209278,Medium
127,64,70,26.70639772,59.58346691,5.597815974,Medium
27,77,38,34.49104556,45.05491296,7.355035917,Medium
107,88,27,38.48238184,47.59725289,7.166559746,Medium
82,97,50,31.58746576,75.7524598,6.148806027,Medium
30,98,28,27.65358124,75.34393915,5.772142559,Poor
134,10,13,21.26829944,58.18692901,7.460462358,Poor
100,16,74,31.82169901,73.05053714,7.063106741,Medium
27,66,50,39.5559939,57.04807681,6.169026814,Medium
54,21,24,26.90556189,81.08244209,5.538937095,Poor
54,14,63,19.05354697,49.96840093,7.658527787,Medium
52,59,73,17.58351454,85.63754999,6.429782283,Medium
24,51,81,21.73140456,62.53701903,5.905413748,Medium
125,21,24,29.23605048,62.14127166,7.597218074,Poor
122,27,88,38.67013253,70.24862306,6.325747482,Medium
60,75,59,22.47912708,50.45136065,6.565478774,Good
47,83,31,22.63477928,73.45977425,7.106822926,Good
26,88,27,27.02949148,49.22550616,7.384663302,Medium
92,26,89,37.96355838,53.8523298,5.730408822,Medium
91,77,11,25.47637626,70.48220621,7.566949979,Medium
31,80,45,20.5807348,52.70694608,7.644841352,Medium
53,71,29,19.07827287,41.99844736,6.096320371,Medium
52,50,25,26.42538423,82.31408753,6.643992262,Medium
67,43,76,35.01693589,85.32932285,7.473113269,Medium
138,79,39,22.28381012,67.60386299,6.620901163,Medium
42,54,64,27.81306598,78.66904627,6.608541514,Good
81,67,75,30.07520681,89.19914129,6.922603337,Medium
107,60,35,26.26176029,66.88648511,7.265110419,Good
56,43,66,19.79225603,84.5275586,7.030919987,Medium
118,53,78,38.04364195,51.55528498,6.941103276,Good
63,24,11,29.13623088,72.02834615,6.354844069,Medium
123,87,65,33.2283596,33.34832798,6.949169523,Medium
105,79,93,30.90107514,77.33829334,5.737527608,Medium
110,59,71,39.95120054,79.78818868,6.441983669,Good
54,41,43,26.40775336,54.07052619,5.93320795,Medium
84,76,65,25.62430933,68.33730095,6.736406036,Good
118,12,64,24.00349665,81.50166614,6.102703932,Medium
120,95,29,24.04071148,83.01648987,6.66365009,Poor
66,95,59,21.89425527,36.39189146,7.287847573,Medium
97,83,34,39.51575313,79.64926479,6.498183197,Good
22,60,93,36.76955086,46.45460112,6.003075925,Medium
20,76,34,22.91682512,73.63841378,6.012857851,Medium
24,85,62,22.63072612,49.50984921,7.584385231,Medium
109,57,23,17.58834968,33.37978024,7.296080959,Medium
138,26,69,36.92577151,42.59224259,5.584117136,Poor
33,16,52,24.29415127,54.52030655,7.668262459,Poor
122,22,71,29.3153848,74.4737172,5.758899931,Poor
46,75,85,37.50944322,36.04221764,7.001767486,Medium
28,13,78,25.20251621,78.77604749,6.768457088,Medium
98,19,72,35.17170109,89.81706552,5.60734755,Poor
34,97,11,25.75714066,77.29545859,6.178898533,Poor
109,26,63,32.52352348,58.4241912,7.284463288,Medium
61,61,25,25.77961018,64.08961265,6.205823633,Medium
96,15,64,24.81897836,30.3696305,6.604764506,Medium
70,92,52,39.76773099,42.55643027,7.105286248,Medium
82,78,70,30.30874605,83.93928789,5.664617541,Medium
115,83,47,24.18477954,31.30376416,7.414993141,Medium
122,18,54,21.44548693,84.28769717,5.595636714,Poor
132,86,60,15.99415926,36.79515649,6.103491131,Medium
71,92,51,32.66415851,37.9844478,7.255054711,Medium
115,30,33,24.3039357,40.52099465,7.597312849,Medium
23,33,39,35.53135409,77.9631195,7.248790545,Medium
113,13,46,24.09671152,58.69119452,6.022098525,Medium
120,33,62,24.33322981,38.71179781,7.767164788,Medium
42,68,72,34.47952516,71.20810918,6.450668723,Good
122,12,20,27.23666642,86.44130198,6.365837785,Poor
128,77,87,37.12236927,64.34708845,7.490041649,Medium
34,49,32,29.75339392,35.92200034,5.652280646,Poor
62,57,89,21.01612034,33.28503637,6.778987286,Medium
48,63,59,29.20679636,77.75234159,7.72093946,Medium
55,44,94,15.1000419,67.56501914,5.730299773,Medium
32,65,64,22.80993437,85.35944035,6.743952818,Medium
51,98,64,20.19880851,62.83500906,5.804650219,Medium
90,49,13,31.35469639,33.74372419,7.546949316,Poor
78,86,63,18.40096459,54.221211,6.851821289,Good
134,77,70,22.25243617,69.47944132,6.039587783,Medium
105,55,87,23.28271386,53.09312106,6.20619893,Good
47,87,92,15.08233072,89.9754838,6.688251239,Medium
85,22,14,16.16916421,54.32271682,7.168300644,Medium
61,36,27,22.7781532,62.77416759,6.621236684,Medium
64,15,53,20.55891133,43.52352196,5.935311671,Medium
81,26,40,17.92266847,39.12829226,7.128701799,Medium
76,45,30,18.85404141,68.71833231,5.772236581,Medium
136,90,56,35.88842403,65.31676481,7.361636788,Medium
25,11,39,32.08298939,30.26033144,6.409880269,Poor
47,86,64,27.10293828,47.08689209,7.001234346,Good
47,61,77,37.72186941,68.61477438,6.292810354,Good
127,75,78,15.73881977,78.73496074,7.038869123,Medium
63,61,50,23.6233734,48.74211918,7.545129896,Medium
103,52,54,35.58459294,68.84618216,7.113229821,Good
49,99,83,30.70722486,45.91547581,7.044240665,Medium
81,31,89,39.54218586,71.42279368,7.242044868,Good
94,64,39,38.61287308,71.87687992,6.650487624,Good
138,76,86,19.24856228,37.81340793,6.006673142,Medium
111,69,94,39.29967493,69.90538704,7.375700715,Medium
108,67,54,38.63836965,50.0140309,6.991508593,Good
122,21,54,24.34027363,40.3556959,6.221788025,Medium
81,97,88,39.57200729,60.02167397,6.134501386,Medium
116,78,93,15.89610381,57.13780103,6.649836539,Medium
20,93,93,31.51876387,76.43248866,5.976803003,Poor
46,48,54,21.65369511,35.07093055,7.519949314,Medium
81,22,64,18.23657741,77.38519613,7.313718523,Medium
135,50,68,29.43837312,36.36494173,6.20912442,Medium
96,66,14,22.6587577,42.44754168,5.613628159,Medium
124,62,41,31.6706336,60.9529271,5.619296606,Medium
22,21,15,28.4995263,57.790476,6.183375444,Poor
122,22,35,24.81473502,89.33153848,5.839267076,Poor
89,83,46,19.54555403,65.3684228,7.50866417,Medium
91,66,22,30.03125494,49.64613571,6.467800472,Medium
46,49,78,35.73076574,84.00893211,6.300460934,Medium
28,89,34,30.00011171,48.73289741,6.001167919,Medium
81,54,22,30.26306389,46.42653811,7.43476235,Medium
56,44,97,27.7959341,59.66230771,7.322674101,Medium
116,12,29,24.70600293,84.79048707,6.383951018,Poor
70,14,81,26.43645104,72.51085532,5.889523056,Medium
125,99,69,39.73854393,70.64899293,7.689572969,Poor
63,20,82,33.74171255,73.5646359,6.226477997,Medium
43,80,30,25.7639866,69.57843665,7.27351096,Good
98,65,70,26.43241,75.58778158,6.56501401,Good
78,19,93,27.49080019,41.5657213,7.29778572,Medium
137,43,88,31.48285486,40.63549721,6.607701266,Medium
51,76,35,26.64895586,51.72980063,7.628787549,Medium
115,81,63,32.15447796,81.05758673,7.34097376,Medium
107,40,51,23.22969517,72.86725293,6.098664787,Good
124,84,20,25.2659908,63.98840057,6.489868883,Medium
71,80,46,36.60132812,31.16684625,5.731356555,Medium
132,75,20,23.22264137,44.14813704,7.57798402,Poor
81,79,36,39.11091833,78.21083655,5.659381541,Medium
132,50,92,19.31262367,44.54920159,5.541955699,Poor
77,72,43,21.04199539,73.81741183,6.64179605,Good
71,41,47,26.59199377,41.0780559,6.887196945,Good
31,29,70,34.93521815,66.38205349,6.013393102,Medium
58,66,96,33.28938694,67.692682,6.812262895,Medium
21,59,62,19.36165044,75.11797354,7.559792327,Medium
22,89,74,20.91712565,56.30054405,6.940064842,Medium
132,34,12,29.38157473,67.96048195,6.548203923,Medium
120,21,76,22.37911863,59.21818732,5.832186664,Medium
132,80,37,25.55813311,86.84028272,5.888565977,Poor
75,48,23,27.16485439,61.31284362,6.614015814,Medium
100,26,61,29.85615013,42.57587299,6.565179125,Medium
78,54,39,21.27628311,70.07355295,6.701493931,Good
132,20,67,19.07850359,62.90803969,6.668147984,Medium
21,79,63,24.96408469,78.22976983,6.284941461,Medium
21,32,78,17.05065562,40.61469586,7.100486349,Medium
111,79,24,28.16912928,45.65637616,5.988085569,Medium
73,47,47,35.99012898,85.29774644,7.460356321,Medium
106,11,87,17.97439149,85.80156679,5.947111067,Poor
120,95,23,17.8182633,56.53540599,6.456541019,Medium
115,93,66,17.00544497,32.86507093,5.984709925,Poor
116,98,68,36.19653224,48.39330412,6.922441452,Medium
20,88,17,17.01762237,44.82735927,6.598566803,Medium
38,81,81,39.58655088,54.88061112,6.360922165,Medium
21,46,28,23.95828235,49.06803713,6.59280701,Medium
72,58,41,23.21905398,79.73954063,6.468853044,Good
63,61,38,17.2907938,30.18216115,7.466880703,Medium
109,42,50,29.64103032,68.67791121,5.785812947,Medium
51,31,84,29.64705531,69.85621351,7.324317269,Good
89,14,54,27.34514568,69.63759452,7.007258043,Medium
51,27,22,22.77550368,61.23568083,6.301136868,Medium
138,47,36,24.21452225,66.66624439,7.613934741,Medium
87,46,28,23.01258484,78.62965869,5.906974927,Medium
74,73,35,25.65366021,77.05180672,6.213663062,Good
94,19,62,23.54470264,32.07752263,6.362134453,Medium
75,88,60,31.887933,31.82619214,6.989931447,Medium
36,51,46,22.39466181,80.33668877,7.676746094,Poor
57,57,18,23.77095579,64.48378125,6.864930084,Medium
43,53,61,25.88649712,87.44564012,7.469503997,Medium
88,91,63,15.09904586,55.89549581,7.581438566,Medium
135,96,12,27.30206436,40.60450928,6.572866539,Poor
117,25,78,21.39549508,58.39409474,6.586598492,Medium
89,63,17,16.40376135,56.19265848,6.074994819,Medium
105,44,23,37.77553247,61.03064289,6.883648983,Medium
30,37,12,23.06046835,78.47683403,5.776063992,Poor
131,11,33,25.65213159,69.33503928,6.958956082,Medium
35,22,22,35.68357896,41.11651964,7.553663352,Poor
116,50,52,19.16972427,74.06863538,7.249807083,Good
92,89,38,36.25772024,65.5137728,6.993133268,Good
78,68,81,21.0409487,64.69864383,7.428329185,Good
89,78,60,29.72594729,70.69541295,7.17857488,Good
99,62,51,32.1419595,63.83792752,6.718222621,Good
112,54,40,37.62534865,57.45082418,6.698448051,Good
22,29,72,30.19094987,68.42281697,5.746107219,Poor
39,33,35,26.33079503,73.42362417,6.499153918,Medium
78,70,27,29.30673381,43.54601657,6.701633757,Medium
55,67,91,20.05206157,59.82299365,6.580809155,Medium
38,36,66,32.22685835,57.4903478,7.28483192,Medium
109,35,16,19.6720178,32.39419624,5.870212674,Poor
86,16,57,28.9311903,80.06631939,7.328267494,Medium
38,51,89,31.19009153,52.64292144,7.205824364,Medium
39,56,69,37.46457951,34.36135399,7.571891353,Poor
115,62,42,26.25474565,57.47394582,6.358946483,Good
90,68,12,34.38333066,39.68884837,5.906049795,Poor
71,47,13,19.18826221,72.26486488,7.24484575,Medium
124,78,13,18.90491197,64.30629451,6.853390959,Medium
52,96,51,28.11995034,46.20682842,7.138732401,Medium
59,62,18,29.90851913,87.02843155,7.792503083,Poor
58,24,60,30.80852602,47.5047209,5.947441424,Medium
101,35,26,33.64185105,63.29981442,6.445418693,Medium
123,57,26,22.37328719,78.09406946,5.943202623,Poor
20,28,29,30.56519305,60.83353788,7.479433331,Poor
30,18,23,19.70347802,87.65134055,5.539056358,Poor
111,73,31,20.47494273,80.63127402,5.811013172,Medium
76,63,61,16.68272221,85.26114084,6.070101623,Medium
108,60,36,33.67501465,52.36215503,7.274043369,Good
69,48,52,27.67482426,62.90132504,6.945444667,Good
42,13,12,20.95464264,80.40997773,6.393808363,Poor
50,12,97,28.90594314,84.21000206,5.865010697,Poor
113,73,17,23.85600497,86.66181468,6.239700001,Medium
61,38,95,35.93024776,82.7491196,7.209866595,Medium
118,20,98,28.20369702,73.84529424,6.378488908,Medium
26,67,19,15.74526807,31.45288833,6.563969264,Poor
35,84,38,39.62738216,48.89720697,6.899839835,Medium
109,36,49,16.85746346,37.73617709,7.599641349,Medium
131,30,74,32.39895472,39.28551608,6.075242115,Medium
135,48,30,25.93139598,47.45443124,6.530392104,Medium
79,55,33,21.23294516,34.48442743,6.213739093,Medium
132,75,82,31.91145586,44.58190874,6.572229927,Medium
21,45,69,18.14743384,87.41873019,7.101861583,Medium
20,84,35,36.45616746,48.71661472,6.60874742,Medium
67,91,18,21.26529965,39.5827842,7.419433594,Poor
31,74,29,24.03634146,73.09801083,6.772493628,Medium
88,72,65,30.81609091,79.710309,6.387259895,Good
56,44,45,15.02573289,48.84227098,7.299338452,Good
51,40,45,26.81871536,46.70983863,6.492044977,Good
138,37,82,37.35622304,44.50557287,6.685771063,Medium
28,10,31,32.01039103,53.59567434,7.787741831,Poor
124,34,10,24.69750912,35.23390547,7.308792977,Poor
118,52,78,31.5106107,70.14775359,7.466827027,Good
38,93,82,38.41423562,79.33357952,6.863557365,Medium
67,76,46,19.69513292,69.82093678,6.300897873,Good
99,72,92,28.29520022,55.27198139,7.77992011,Medium
22,60,81,20.86843953,47.33773484,6.061246221,Medium
39,11,22,36.35561598,54.56676987,7.507478976,Poor
43,91,93,33.02625629,55.43024909,7.59599307,Poor
73,73,52,35.02689801,69.96124971,7.380375997,Good
139,83,46,38.57529631,85.68362134,5.762393238,Poor
52,78,83,20.80771941,34.23518937,7.464459916,Medium
43,18,34,16.21797929,87.20121557,7.026689261,Medium
135,11,97,22.272593,84.61207701,7.065895142,Poor
94,43,30,24.97848272,37.06393802,7.309022627,Medium
132,69,50,30.62899517,41.01510187,6.628235875,Medium
91,70,82,34.94261406,48.69573609,6.114461561,Good
55,40,51,23.7450822,63.57996246,6.822344008,Good
57,19,51,26.83742467,38.06857176,5.749953546,Poor
123,85,11,34.63668165,42.0200972,7.052051742,Medium
103,45,77,20.63321816,84.16051764,6.61076415,Medium
118,94,17,20.4282982,36.55803785,6.655361187,Poor
131,58,70,29.73082475,53.93269591,5.927390816,Medium
108,79,23,25.90142076,75.78010666,5.594950504,Medium
118,58,86,38.72242008,83.31498701,6.905920505,Medium
44,12,30,23.92576357,50.16255376,7.015311168,Medium
112,83,33,33.98889009,39.86625032,6.646071491,Medium
37,14,59,29.57731859,74.22069955,7.261181958,Medium
129,99,91,16.3644023,76.35346552,6.796547316,Poor
101,70,54,17.1096387,88.80200664,7.450850839,Medium
85,94,73,20.0789122,38.37251109,6.162672768,Medium
73,99,73,18.57881557,72.56525296,6.059149161,Medium
54,35,35,23.23428724,55.03755226,6.100634267,Good
99,81,41,29.4747229,84.87776625,5.570192493,Medium
80,14,66,30.05906358,54.46985306,7.571435367,Medium
60,24,62,29.69419463,56.75762253,7.7981291,Medium
119,25,42,17.94021587,37.60779589,7.378001864,Medium
52,10,61,30.00563527,49.25620711,6.448971015,Medium
87,25,27,25.24367217,54.05042822,6.314047179,Medium
52,46,44,37.57631663,31.05052526,7.281769906,Medium
33,12,21,37.7996049,56.25446811,6.672873751,Poor
40,61,60,34.20434567,50.17911308,7.660753055,Medium
67,56,98,32.57767878,78.23038415,6.143033184,Medium
39,22,19,17.87381793,36.42675681,6.244781369,Poor
139,89,61,17.11735529,75.61266762,7.797297295,Medium
27,64,43,36.02084227,72.8406926,7.749801957,Medium
26,30,76,25.67539541,44.50693967,7.535941037,Medium
86,75,48,26.28405688,34.9963001,6.430645982,Medium
36,63,17,36.19482725,80.51000675,7.426509291,Poor
52,36,38,30.53577398,44.96580256,6.151804367,Good
67,47,31,19.48518102,38.73360718,6.085935743,Medium
95,99,93,20.27533072,51.54219611,6.756806614,Medium
78,67,79,15.15942923,54.05296942,7.478604654,Good
134,71,70,32.76675235,49.56527879,5.724188381,Medium
105,55,52,27.14029146,88.58886675,6.800203541,Medium
138,98,58,38.74909782,82.84924016,6.902398221,Poor
41,20,38,32.85032003,82.37852979,6.83353485,Medium
129,81,90,17.57881652,53.92605543,6.00254373,Medium
49,17,40,19.0385365,87.77217838,5.647497033,Poor
57,80,62,27.54311617,71.04091778,7.558481318,Medium
121,73,43,38.12185422,79.91968012,6.821378532,Medium
128,30,47,21.18127725,60.0525075,7.266180196,Medium
70,81,66,35.63950505,39.63703759,6.338205103,Medium
73,72,13,22.8068105,83.2131303,5.597755221,Poor
27,94,11,21.74742974,59.18560436,6.097000211,Poor
46,73,21,37.53481873,88.11329455,5.668741017,Poor
46,29,44,16.1810398,45.29166068,5.679954876,Medium
117,17,79,31.51852597,89.54273949,5.993256493,Poor
40,67,81,16.07918786,43.34548092,6.957229709,Good
49,55,30,35.01909466,52.09000548,7.380873114,Good
116,40,70,35.73510887,65.64099138,7.389121171,Good
47,18,44,37.33391437,71.59938355,7.656840017,Medium
130,24,57,19.65225154,73.21693014,7.009677673,Medium
83,35,24,18.1124539,58.57514454,5.545680166,Medium
116,19,80,27.58837616,34.60961741,6.368025601,Medium
88,38,24,21.79081554,59.7628891,5.756359028,Medium
80,89,15,30.15743681,50.08127715,7.288168919,Medium
67,45,90,27.84368226,69.45933654,5.77528494,Medium
38,93,77,18.62130276,40.93653505,5.743621646,Poor
23,46,31,33.48176235,53.63473949,5.564879853,Medium
54,95,41,35.09460946,87.96714924,7.697656399,Poor
83,80,31,39.07607556,35.33204395,7.307133132,Medium
68,32,36,24.88847191,66.14004948,6.266614881,Good
36,50,24,23.44337339,35.43889374,6.365810475,Poor
63,89,53,19.8065664,39.41973936,5.636685386,Medium
111,37,95,19.52162638,66.29606332,5.86320893,Medium
49,57,18,23.02633213,56.63973135,6.21633816,Medium
112,47,43,39.54541756,62.90993982,6.392096374,Good
65,40,82,17.30646687,82.79233024,6.925945751,Medium
136,23,24,21.48415505,79.03441455,6.305764406,Poor
25,82,71,17.14945992,83.27888697,7.695581182,Poor
118,97,54,21.84078482,66.97529525,6.288426683,Medium
124,86,93,17.31003581,59.37859018,7.665669328,Poor
56,99,81,27.70772167,57.55185491,7.178677291,Medium
43,38,67,25.95889134,74.38851337,7.569764344,Medium
112,60,28,19.35125826,61.2779927,7.117261525,Medium
132,58,25,19.37019734,36.34612778,6.807743285,Poor
65,52,84,30.65272684,38.51634144,6.670890403,Medium
72,81,17,24.67803347,51.42496606,6.170077795,Medium
114,96,42,16.40487342,34.06940232,6.185800169,Medium
118,14,83,38.00481499,44.35387317,6.013373441,Medium
79,51,27,25.12381215,69.38405119,6.386743907,Medium
116,16,44,29.77618887,30.74581874,5.792037919,Poor
135,51,52,37.13529875,66.24557193,6.391491651,Medium
82,45,59,25.05397493,76.34141539,7.417610618,Good
104,36,12,35.51650099,40.20922509,7.501672258,Medium
51,67,68,37.86880562,40.85811379,6.978509858,Good
106,55,37,19.35168459,31.73138199,6.090662541,Medium
52,75,55,37.3123115,60.74700233,6.052803801,Good
86,34,73,17.99581117,69.27525341,6.13923648,Good
37,82,79,21.87818523,57.41457493,6.65009022,Medium
44,36,56,35.20528619,53.36692858,7.745822302,Medium
125,10,23,37.51711371,57.26476904,5.75112432,Poor
114,96,16,32.10346971,76.89169312,6.651177817,Medium
73,83,83,17.62064624,32.01085844,7.069162031,Medium
77,51,88,28.07480692,77.02911365,6.065020071,Good
86,61,40,29.31585273,69.98052694,7.728958235,Medium
123,34,90,22.04649325,44.48559325,6.302749976,Medium
65,63,60,39.78239517,61.48438357,7.644417907,Medium
43,76,38,23.39069892,32.95744024,6.87391749,Medium
133,15,24,20.25636923,52.77532022,5.509382695,Poor
51,67,99,17.75340072,40.44254874,6.215557918,Medium
66,79,85,24.46253152,31.33802316,5.549561883,Medium
105,62,34,32.31546729,51.42536987,6.377394179,Good
42,75,70,20.78542733,73.56674504,7.644828272,Medium
85,67,50,34.23860544,85.26131204,7.291739147,Medium
46,91,78,18.38503169,69.73581079,6.926303901,Medium
125,96,13,26.01169827,54.11820769,6.738669701,Poor
21,11,66,32.5593435,89.96976674,6.356938423,Poor
109,85,40,18.38273507,46.97661049,5.986541317,Medium
36,31,12,29.94605525,41.22788596,5.643807311,Poor
123,46,76,34.97381281,57.82093615,5.937337333,Medium
52,29,99,29.88872241,60.29468493,6.30849619,Medium
28,33,59,27.78659811,51.2894028,6.695979568,Medium
62,93,26,35.95748883,71.72994474,5.97012896,Poor
137,74,69,39.63550875,41.03186472,7.740955758,Medium
67,74,83,19.53282381,60.62038559,5.676755337,Medium
58,90,75,32.28365853,60.00761751,5.718021148,Medium
112,10,97,17.01643886,79.42718536,7.069985432,Medium
61,12,84,16.0710256,85.61809193,7.23664163,Medium
138,55,33,22.02047426,69.79595242,7.736638379,Medium
45,64,96,39.27299471,48.32229542,6.720021709,Medium
118,84,41,28.80489128,71.37666119,5.881648035,Medium
69,97,96,21.7067836,45.08226775,7.657236596,Poor
44,95,28,18.31465241,87.99266343,7.754539105,Poor
43,73,75,38.00458508,79.34172714,7.624081988,Medium
32,54,69,24.05916455,55.87141533,7.504809211,Medium
